"Date","Price","Open","High","Low","Vol.","Change %"
"01-01-2026","129.000","129.000","129.550","128.775","","0.00%"
"01-12-2025","129.000","129.450","129.850","128.750","","-0.39%"
"01-11-2025","129.500","129.200","130.375","129.000","","0.27%"
"01-10-2025","129.150","129.200","129.550","129.000","","0.00%"
"01-09-2025","129.150","129.200","129.500","128.950","","-0.04%"
"01-08-2025","129.200","129.200","129.575","128.975","","0.00%"
"01-07-2025","129.200","129.200","129.475","128.950","","-0.04%"
"01-06-2025","129.250","129.200","129.600","128.960","","0.04%"
"01-05-2025","129.200","129.400","129.650","128.975","","-0.15%"
"01-04-2025","129.400","129.300","130.025","128.900","","0.08%"
"01-03-2025","129.300","129.250","129.765","128.850","","0.08%"
"01-02-2025","129.200","129.250","129.750","128.625","","0.00%"
"01-01-2025","129.200","129.350","129.875","128.800","","0.27%"
"01-12-2024","128.850","129.750","129.950","128.750","","-0.50%"
"01-11-2024","129.500","129.000","130.075","128.750","","0.78%"
"01-10-2024","128.500","129.000","129.400","128.500","","0.00%"
"01-09-2024","128.500","128.750","129.400","128.500","","0.19%"
"01-08-2024","128.250","129.500","130.500","128.500","","-0.19%"
"01-07-2024","128.500","129.500","133.000","127.825","","-0.19%"
"01-06-2024","128.750","130.000","131.000","128.000","","-0.96%"
"01-05-2024","130.000","135.000","135.000","129.875","","-3.35%"
"01-04-2024","134.500","131.500","135.000","129.350","","2.48%"
"01-03-2024","131.250","146.750","147.000","130.850","","-10.41%"
"01-02-2024","146.500","160.500","161.000","139.500","","-8.44%"
"01-01-2024","160.000","157.000","163.500","156.350","","2.24%"
"01-12-2023","156.500","153.300","157.000","153.000","","2.19%"
"01-11-2023","153.150","150.750","153.300","150.550","","1.79%"
"01-10-2023","150.450","148.100","150.800","148.100","","1.59%"
"01-09-2023","148.100","145.550","148.300","145.300","","1.86%"
"01-08-2023","145.400","142.450","145.600","142.200","","2.04%"
"01-07-2023","142.500","140.550","142.600","140.500","","1.42%"
"01-06-2023","140.500","138.600","140.650","138.400","","1.44%"
"01-05-2023","138.500","135.975","138.800","135.850","","1.91%"
"01-04-2023","135.900","132.300","136.100","132.300","","2.64%"
"01-03-2023","132.400","127.200","132.750","126.850","","4.38%"
"01-02-2023","126.850","124.450","127.300","124.300","","1.97%"
"01-01-2023","124.400","123.400","124.550","123.050","","0.89%"
"01-12-2022","123.300","122.450","123.500","122.300","","0.78%"
"01-11-2022","122.350","121.400","122.550","121.150","","0.91%"
"01-10-2022","121.250","120.700","121.450","120.650","","0.50%"
"01-09-2022","120.650","120.000","120.850","119.900","","0.46%"
"01-08-2022","120.100","118.850","120.200","118.600","","1.09%"
"01-07-2022","118.800","117.850","118.950","117.800","","0.85%"
"01-06-2022","117.800","116.700","117.950","116.700","","0.94%"
"01-05-2022","116.700","115.800","116.900","115.550","","0.86%"
"01-04-2022","115.700","114.900","115.850","114.900","","0.70%"
"01-03-2022","114.900","113.850","115.000","113.700","","1.01%"
"01-02-2022","113.750","113.550","113.880","113.500","","0.22%"
"01-01-2022","113.500","113.000","113.650","112.900","","0.40%"
"01-12-2021","113.050","112.500","113.200","112.300","","0.53%"
"01-11-2021","112.450","111.150","112.750","110.900","","1.12%"
"01-10-2021","111.200","110.350","111.400","110.350","","0.72%"
"01-09-2021","110.400","109.900","110.500","109.700","","0.55%"
"01-08-2021","109.800","108.600","109.935","108.550","","1.20%"
"01-07-2021","108.500","107.900","108.700","107.750","","0.65%"
"01-06-2021","107.800","107.700","108.200","107.450","","0.19%"
"01-05-2021","107.600","107.850","108.300","106.400","","-0.14%"
"01-04-2021","107.750","109.400","109.700","106.750","","-1.37%"
"01-03-2021","109.250","109.850","109.900","109.300","","-0.41%"
"01-02-2021","109.700","110.150","110.150","109.400","","-0.32%"
"01-01-2021","110.050","109.150","110.300","109.050","","0.87%"
"01-12-2020","109.100","110.050","111.780","108.450","","-0.82%"
"01-11-2020","110.000","108.850","110.200","108.750","","1.20%"
"01-10-2020","108.700","108.400","108.950","108.350","","0.28%"
"01-09-2020","108.400","108.250","108.750","108.050","","0.28%"
"01-08-2020","108.100","107.750","108.700","107.700","","0.42%"
"01-07-2020","107.650","106.500","108.400","106.400","","1.13%"
"01-06-2020","106.450","106.800","106.950","106.000","","-0.23%"
"01-05-2020","106.700","107.300","107.350","105.800","","-0.42%"
"01-04-2020","107.150","104.900","107.650","104.900","","1.95%"
"01-03-2020","105.100","101.150","106.900","100.950","","3.96%"
"01-02-2020","101.100","100.450","101.460","100.275","","0.80%"
"01-01-2020","100.300","101.350","101.750","100.375","","-0.94%"
"01-12-2019","101.250","102.550","102.800","100.565","","-1.22%"
"01-11-2019","102.500","103.300","103.600","101.150","","-0.68%"
"01-10-2019","103.200","103.850","104.000","103.050","","-0.53%"
"01-09-2019","103.750","103.600","104.035","103.440","","0.34%"
"01-08-2019","103.400","104.250","104.350","102.700","","-0.62%"
"01-07-2019","104.050","102.210","104.600","102.100","","1.71%"
"01-06-2019","102.300","101.150","102.500","101.025","","1.09%"
"01-05-2019","101.200","101.200","101.550","100.750","","0.10%"
"01-04-2019","101.100","100.750","101.680","100.550","","0.40%"
"01-03-2019","100.700","100.180","101.150","99.500","","0.85%"
"01-02-2019","99.850","100.750","100.750","99.925","","-0.84%"
"01-01-2019","100.700","101.800","102.285","100.525","","-1.08%"
"01-12-2018","101.800","102.500","102.800","101.340","","-0.68%"
"01-11-2018","102.500","101.900","103.600","101.300","","0.49%"
"01-10-2018","102.000","101.050","102.350","100.700","","1.29%"
"01-09-2018","100.700","100.700","101.300","100.580","","0.10%"
"01-08-2018","100.600","100.600","101.000","100.275","","0.20%"
"01-07-2018","100.400","101.100","101.150","100.100","","-0.40%"
"01-06-2018","100.800","101.550","101.550","100.400","","-0.40%"
"01-05-2018","101.200","100.600","101.750","100.100","","1.00%"
"01-04-2018","100.200","100.750","101.280","99.890","","-0.69%"
"01-03-2018","100.900","101.300","101.650","100.700","","-0.39%"
"01-02-2018","101.300","102.300","102.300","100.600","","-0.69%"
"01-01-2018","102.000","103.300","103.700","101.900","","-1.07%"
"01-12-2017","103.100","103.050","103.400","102.800","","0.15%"
"01-11-2017","102.950","103.850","103.970","103.000","","-0.72%"
"01-10-2017","103.700","102.950","104.000","102.950","","0.58%"
"01-09-2017","103.100","102.850","103.450","102.600","","0.29%"
"01-08-2017","102.800","103.900","104.175","102.750","","-1.06%"
"01-07-2017","103.900","103.650","104.125","103.550","","0.29%"
"01-06-2017","103.600","103.300","103.860","103.150","","0.29%"
"01-05-2017","103.300","103.275","103.600","102.975","","0.19%"
"01-04-2017","103.100","103.150","103.575","102.800","","0.00%"
"01-03-2017","103.100","102.950","103.250","102.450","","0.29%"
"01-02-2017","102.800","103.850","104.000","102.850","","-0.87%"
"01-01-2017","103.700","102.600","104.200","102.360","","1.30%"
"01-12-2016","102.370","101.900","102.650","101.600","","0.66%"
"01-11-2016","101.700","101.505","102.050","101.300","","0.20%"
"01-10-2016","101.500","101.160","101.650","101.100","","0.30%"
"01-09-2016","101.200","101.250","101.450","101.075","","0.05%"
"01-08-2016","101.150","101.450","101.600","101.100","","-0.15%"
"01-07-2016","101.300","101.100","101.750","101.000","","0.30%"
"01-06-2016","101.000","100.800","101.450","100.640","","0.30%"
"01-05-2016","100.700","101.100","101.250","100.150","","-0.20%"
"01-04-2016","100.900","101.450","101.600","100.950","","-0.49%"
"01-03-2016","101.400","101.700","101.825","101.225","","-0.39%"
"01-02-2016","101.800","102.300","102.400","101.550","","-0.49%"
"01-01-2016","102.300","102.300","102.500","101.975","","0.10%"
"01-12-2015","102.200","102.200","102.475","101.650","","0.10%"
"01-11-2015","102.100","102.000","102.675","101.770","","0.20%"
"01-10-2015","101.900","104.750","104.800","101.400","","-2.58%"
"01-09-2015","104.600","103.895","106.675","103.600","","0.82%"
"01-08-2015","103.750","102.550","104.100","100.600","","1.42%"
"01-07-2015","102.300","99.100","103.700","98.850","","3.10%"
"01-06-2015","99.220","97.850","99.340","95.950","","1.61%"
"01-05-2015","97.650","94.700","99.100","94.275","","3.33%"
"01-04-2015","94.500","92.370","94.825","92.150","","2.38%"
"01-03-2015","92.300","91.400","92.485","91.050","","1.10%"
"01-02-2015","91.300","91.700","91.825","91.175","","-0.22%"
"01-01-2015","91.500","90.500","91.965","90.450","","1.27%"
"01-12-2014","90.350","90.200","90.800","89.900","","0.39%"
"01-11-2014","90.000","89.400","90.400","89.250","","0.67%"
"01-10-2014","89.400","89.350","89.515","88.650","","0.34%"
"01-09-2014","89.100","88.350","89.525","88.100","","0.91%"
"01-08-2014","88.300","87.820","88.900","87.650","","0.68%"
"01-07-2014","87.700","87.650","88.010","87.350","","0.11%"
"01-06-2014","87.600","87.750","88.110","87.100","","0.00%"
"01-05-2014","87.600","86.900","88.130","86.750","","0.74%"
"01-04-2014","86.960","86.325","87.175","86.275","","0.76%"
"01-03-2014","86.300","86.300","86.940","86.100","","-0.12%"
"01-02-2014","86.400","86.400","86.780","85.775","","0.00%"
"01-01-2014","86.400","86.250","87.250","85.375","","0.23%"
"01-12-2013","86.200","86.650","87.100","85.550","","-0.35%"
"01-11-2013","86.500","85.400","87.240","85.100","","1.35%"
"01-10-2013","85.350","86.200","87.025","84.500","","-1.16%"
"01-09-2013","86.350","87.650","87.700","85.900","","-1.43%"
"01-08-2013","87.600","87.425","87.850","87.100","","0.34%"
"01-07-2013","87.300","85.950","87.725","85.650","","1.87%"
"01-06-2013","85.700","85.150","86.310","84.675","","0.71%"
"01-05-2013","85.100","83.650","85.500","83.500","","1.61%"
"01-04-2013","83.750","85.250","85.575","83.500","","-1.93%"
"01-03-2013","85.400","86.250","87.050","85.100","","-0.70%"
"01-02-2013","86.000","87.610","87.850","85.400","","-1.83%"
"01-01-2013","87.600","86.125","88.000","86.000","","2.16%"
"01-12-2012","85.750","85.900","86.325","85.550","","0.41%"
"01-11-2012","85.400","85.200","86.200","85.075","","0.47%"
"01-10-2012","85.000","85.225","85.475","84.700","","-0.23%"
"01-09-2012","85.200","84.250","85.450","83.950","","1.31%"
"01-08-2012","84.100","84.300","84.450","83.650","","-0.12%"
"01-07-2012","84.200","84.200","85.125","83.550","","0.12%"
"01-06-2012","84.100","86.200","86.475","83.400","","-2.27%"
"01-05-2012","86.050","83.250","87.900","83.050","","3.67%"
"01-04-2012","83.000","83.175","83.585","82.850","","0.24%"
"01-03-2012","82.800","83.020","83.625","82.000","","-0.12%"
"01-02-2012","82.900","83.700","84.400","82.450","","-0.96%"
"01-01-2012","83.700","84.900","89.250","83.725","","-1.47%"
"01-12-2011","84.950","89.900","90.225","82.950","","-5.24%"
"01-11-2011","89.650","99.250","99.550","89.200","","-9.81%"
"01-10-2011","99.400","99.900","106.950","98.550","","-0.85%"
"01-09-2011","100.250","93.600","104.150","92.850","","7.05%"
"01-08-2011","93.650","90.950","95.175","90.700","","3.25%"
"01-07-2011","90.700","89.150","91.325","88.275","","1.74%"
"01-06-2011","89.150","85.500","92.050","85.500","","3.72%"
"01-05-2011","85.950","83.300","87.150","83.250","","3.31%"
"01-04-2011","83.200","83.000","84.825","82.975","","0.60%"
"01-03-2011","82.700","82.450","86.800","82.450","","0.22%"
"01-02-2011","82.520","80.900","82.685","80.950","","2.13%"
"01-01-2011","80.800","80.600","81.450","80.615","","0.37%"
"01-12-2010","80.500","80.950","81.125","80.250","","-0.56%"
"01-11-2010","80.950","80.700","81.200","79.900","","0.68%"
"01-10-2010","80.400","80.800","81.075","80.275","","-0.43%"
"01-09-2010","80.750","81.050","81.600","80.450","","-0.34%"
"01-08-2010","81.025","80.225","81.555","79.225","","1.03%"
"01-07-2010","80.200","81.800","82.050","79.950","","-1.90%"
"01-06-2010","81.750","79.950","82.250","79.700","","2.32%"
"01-05-2010","79.900","77.100","80.150","76.950","","3.50%"
"01-04-2010","77.200","77.350","77.650","76.700","","-0.39%"
"01-03-2010","77.500","77.050","77.900","76.550","","0.85%"
"01-02-2010","76.850","76.000","78.000","76.000","","1.25%"
"01-01-2010","75.900","75.950","76.750","75.250","","0.07%"
"01-12-2009","75.850","75.050","76.220","74.650","","1.36%"
"01-11-2009","74.830","75.150","75.800","73.950","","-0.49%"
"01-10-2009","75.200","74.300","76.100","74.300","","0.94%"
"01-09-2009","74.500","76.450","76.700","74.300","","-2.23%"
"01-08-2009","76.200","76.650","76.950","76.000","","-0.65%"
"01-07-2009","76.700","76.500","77.800","75.610","","0.33%"
"01-06-2009","76.450","78.150","78.490","76.300","","-2.43%"
"01-05-2009","78.350","78.550","78.780","75.900","","-0.51%"
"01-04-2009","78.750","80.250","80.880","78.250","","-2.05%"
"01-03-2009","80.400","79.800","81.550","79.800","","0.82%"
"01-02-2009","79.750","79.850","80.050","78.950","","0.00%"
"01-01-2009","79.750","78.410","80.440","77.500","","1.98%"
"01-12-2008","78.200","79.050","80.100","75.350","","-1.20%"
"01-11-2008","79.150","79.400","80.050","75.250","","-0.19%"
"01-10-2008","79.300","73.050","80.300","72.730","","8.37%"
"01-09-2008","73.175","68.825","74.125","68.625","","6.20%"
"01-08-2008","68.900","67.350","69.500","66.200","","2.15%"
"01-07-2008","67.450","65.180","68.150","64.900","","3.37%"
"01-06-2008","65.250","61.900","65.500","61.430","","4.90%"
"01-05-2008","62.200","61.950","64.050","61.250","","0.08%"
"01-04-2008","62.150","62.700","65.600","61.000","","-0.72%"
"01-03-2008","62.600","67.850","68.150","61.800","","-7.94%"
"01-02-2008","68.000","71.350","73.250","67.000","","-4.76%"
"01-01-2008","71.400","63.700","74.600","63.450","","11.91%"
"01-12-2007","63.800","64.250","64.450","61.800","","-0.85%"
"01-11-2007","64.350","66.850","67.050","60.350","","-3.88%"
"01-10-2007","66.950","67.000","67.250","66.350","","-0.22%"
"01-09-2007","67.100","66.800","67.350","66.550","","0.37%"
"01-08-2007","66.850","67.250","68.470","66.100","","-0.74%"
"01-07-2007","67.350","66.750","68.300","66.370","","0.90%"
"01-06-2007","66.750","66.800","67.370","66.000","","-0.30%"
"01-05-2007","66.950","67.950","68.060","66.600","","-1.62%"
"01-04-2007","68.050","68.650","69.400","67.900","","-0.87%"
"01-03-2007","68.650","69.400","69.850","68.500","","-1.19%"
"01-02-2007","69.480","70.250","70.450","68.600","","-1.38%"
"01-01-2007","70.450","69.550","71.750","69.050","","1.22%"
"01-12-2006","69.600","69.980","70.350","69.000","","-0.57%"
"01-11-2006","70.000","71.750","72.830","69.500","","-2.51%"
"01-10-2006","71.800","72.650","73.150","71.600","","-1.10%"
"01-09-2006","72.600","72.450","73.470","72.350","","0.06%"
"01-08-2006","72.560","73.450","73.830","72.400","","-1.21%"
"01-07-2006","73.450","73.800","74.550","72.600","","-0.54%"
"01-06-2006","73.850","72.000","74.700","71.970","","2.36%"
"01-05-2006","72.150","70.900","72.680","70.600","","1.48%"
"01-04-2006","71.100","71.550","72.100","70.820","","-0.70%"
"01-03-2006","71.600","72.600","73.150","71.200","","-1.51%"
"01-02-2006","72.700","71.500","73.600","70.690","","1.61%"
"01-01-2006","71.550","72.300","73.420","71.000","","-1.24%"
"01-12-2005","72.450","73.750","74.200","71.650","","-1.90%"
"01-11-2005","73.850","73.700","76.030","73.000","","0.00%"
"01-10-2005","73.850","73.900","74.420","72.350","","-0.20%"
"01-09-2005","74.000","75.700","76.000","72.350","","-2.34%"
"01-08-2005","75.770","75.900","76.850","75.100","","-0.37%"
"01-07-2005","76.050","76.100","77.000","75.400","","-0.13%"
"01-06-2005","76.150","76.900","77.150","75.400","","-1.23%"
"01-05-2005","77.100","76.250","77.620","75.000","","0.78%"
"01-04-2005","76.500","74.610","77.050","74.000","","2.48%"
"01-03-2005","74.650","75.900","77.050","72.500","","-1.84%"
"01-02-2005","76.050","77.020","78.650","75.200","","-1.49%"
"01-01-2005","77.200","78.300","79.600","75.590","","-1.72%"
"01-12-2004","78.550","81.150","81.350","75.800","","-3.32%"
"01-11-2004","81.250","81.000","81.480","79.650","","0.00%"
"01-10-2004","81.250","80.950","81.500","80.000","","0.25%"
"01-09-2004","81.050","79.700","82.000","79.000","","1.50%"
"01-08-2004","79.850","80.250","83.450","79.050","","-0.63%"
"01-07-2004","80.360","79.250","80.700","79.000","","1.30%"
"01-06-2004","79.330","79.100","79.670","78.150","","0.16%"
"01-05-2004","79.200","78.220","80.150","76.100","","1.02%"
"01-04-2004","78.400","77.650","78.510","76.350","","0.90%"
"01-03-2004","77.700","76.300","79.500","76.000","","1.70%"
"01-02-2004","76.400","76.400","79.600","75.900","","-0.20%"
"01-01-2004","76.550","75.950","79.190","75.700","","0.72%"
"01-12-2003","76.000","75.800","78.400","75.000","","0.07%"
"01-11-2003","75.950","77.630","78.700","74.450","","-2.59%"
"01-10-2003","77.970","78.250","79.100","75.900","","-0.46%"
"01-09-2003","78.330","76.500","79.400","75.900","","2.13%"
"01-08-2003","76.700","75.250","77.050","74.200","","1.79%"
"01-07-2003","75.350","73.500","76.550","73.050","","2.10%"
"01-06-2003","73.800","72.600","75.200","71.200","","1.23%"
"01-05-2003","72.900","74.000","74.950","65.200","","-1.69%"
"01-04-2003","74.150","76.350","76.850","74.050","","-2.95%"
"01-03-2003","76.400","76.450","77.320","76.050","","-0.13%"
"01-02-2003","76.500","77.650","78.550","76.230","","-1.64%"
"01-01-2003","77.775","76.500","78.475","76.500","","0.35%"
"01-12-2002","77.500","79.800","80.000","76.500","","-2.92%"
"01-11-2002","79.830","79.400","80.650","78.670","","0.42%"
"01-10-2002","79.500","78.950","79.850","78.350","","0.57%"
"01-09-2002","79.050","78.750","79.120","78.460","","0.29%"
"01-08-2002","78.825","78.620","78.935","78.230","","0.22%"
"01-07-2002","78.650","78.700","79.870","78.000","","-0.13%"
"01-06-2002","78.755","78.300","79.475","78.000","","0.48%"
"01-05-2002","78.380","78.200","78.460","78.000","","0.10%"
"01-04-2002","78.300","77.950","78.650","77.950","","0.29%"
"01-03-2002","78.075","77.900","78.725","77.800","","0.03%"
"01-02-2002","78.050","78.500","79.130","77.730","","-0.76%"
"01-01-2002","78.650","78.550","79.150","78.200","","0.06%"
"01-12-2001","78.600","78.950","79.120","77.900","","-0.44%"
"01-11-2001","78.950","78.950","79.200","78.750","","-0.06%"
"01-10-2001","79.000","79.250","79.500","78.100","","-0.19%"
"01-09-2001","79.150","79.050","79.150","79.050","","0.29%"
"01-08-2001","78.925","78.800","78.925","78.800","","0.03%"
"01-07-2001","78.900","78.780","78.900","78.780","","-0.47%"
"01-06-2001","79.275","79.150","79.275","79.150","","1.77%"
"01-05-2001","77.900","77.850","77.900","77.850","","0.45%"
"01-04-2001","77.550","77.450","77.550","77.450","","-0.32%"
"01-03-2001","77.800","77.700","77.800","77.700","","-0.38%"
"01-02-2001","78.100","78.000","78.100","78.000","","-0.51%"
"01-01-2001","78.500","78.400","78.500","78.400","","0.58%"
